publish_date,publish_time_utc,ref,format,rhyme_title,content_type,setting,palette,companion,status,review_state,approved_by,pipeline_cmd
2026-09-03,09:00,VID-20260903-1,long,Pop Goes the Weasel,rhyme,a quiet hilltop meadow under a wide evening sky,"deep indigo, soft gold, cream",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260903-1 --rhyme pop_weasel --format long
2026-09-03,13:00,SHT-20260903-2,short,"Star Light, Star Bright",rhyme,a cosy wooden treehouse with round windows,"sage green, warm terracotta, oat",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260903-2 --rhyme star_light --format short
2026-09-03,17:00,VID-20260903-3,long,"Peter, Peter, Pumpkin Eater",rhyme,a small harbour where painted boats bob at their moorings,"dusty blue, buttermilk, pale coral",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260903-3 --rhyme peter_pumpkin --format long
2026-09-03,21:00,SHT-20260903-4,short,Frere Jacques (Are You Sleeping?),rhyme,a sunlit kitchen garden with tall sunflowers,"plum, mustard, soft grey","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260903-4 --rhyme frere_jacques --format short
2026-09-04,09:00,VID-20260904-1,long,"Pat-a-Cake, Pat-a-Cake",rhyme,a snowy village square with warm lantern light,"forest green, cream, honey",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260904-1 --rhyme pat_a_cake --format long
2026-09-04,13:00,SHT-20260904-2,short,Old King Cole,rhyme,a riverbank where willows dip into slow water,"lavender, mint, warm white",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260904-2 --rhyme old_king_cole --format short
2026-09-04,17:00,VID-20260904-3,long,This Little Piggy,rhyme,a friendly red barn at the edge of a green field,"soft teal, apricot, ivory",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260904-3 --rhyme this_piggy --format long
2026-09-04,21:00,SHT-20260904-4,short,"Rain, Rain, Go Away",rhyme,a bright attic room full of soft toys and books,"clay pink, olive, sand",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260904-4 --rhyme rain_go_away --format short
2026-09-05,09:00,VID-20260905-1,long,Little Miss Muffet,rhyme,a windmill on a low hill with long grass,"midnight blue, silver, pale rose",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260905-1 --rhyme miss_muffet --format long
2026-09-05,13:00,SHT-20260905-2,short,Yankee Doodle,rhyme,a duck pond ringed with smooth grey stones,"moss green, butter yellow, chalk",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260905-2 --rhyme yankee_doodle --format short
