rhyme_id,title,composition_pd_basis,composition_verified_by,composition_verified_on,recording_type,recording_owner,work_for_hire_signed,arrangement_owner,ai_tool_used,ai_tool_terms_captured,clearance_status,evidence_url,notes
twinkle,"Twinkle, Twinkle, Little Star","Lyrics from Jane Taylor, 'The Star', Rhymes for the Nursery (1806). Melody from 'Ah! vous dirai-je, maman' (published 1761).",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/twinkle-wfh-2026-09-03.pdf,Shares melody with Baa Baa Black Sheep and the Alphabet Song. Never schedule those three close together.
itsy_bitsy,The Itsy Bitsy Spider,Traditional English nursery rhyme; printed in Traditional American children's song; pre-1930 printed collections. Published far before 1930; 95-year term expired.,A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/itsy_bitsy-wfh-2026-09-03.pdf,
old_macdonald,Old MacDonald Had a Farm,"Traditional English nursery rhyme; printed in Tommy's Tunes, ed. F. T. Nettleingham, 1917. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/old_macdonald-wfh-2026-09-03.pdf,Cumulative structure gives natural variation: change which animals and their order.
row_row,"Row, Row, Row Your Boat","Traditional English nursery rhyme; printed in The Franklin Square Song Collection, New York: Harper and Brothers, 1881. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/row_row-wfh-2026-09-03.pdf,
mary_lamb,Mary Had a Little Lamb,"Traditional English nursery rhyme; printed in Hale, Sarah Josepha. Poems for Our Children. Boston: Marsh, Capen and Lyon, 1830. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/mary_lamb-wfh-2026-09-03.pdf,
hickory_dickory,Hickory Dickory Dock,"Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/hickory_dickory-wfh-2026-09-03.pdf,
london_bridge,London Bridge Is Falling Down,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/london_bridge-wfh-2026-09-03.pdf,"Keep visuals constructive - building and mending, never collapse or peril."
baa_baa,"Baa, Baa, Black Sheep","Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/baa_baa-wfh-2026-09-03.pdf,
jack_jill,Jack and Jill,"Traditional English nursery rhyme; printed in Mother Goose's Melody, London: J. Newbery, c. 1780. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/jack_jill-wfh-2026-09-03.pdf,"Soften the tumble - no injury, no distress. Show them helping each other up."
humpty,Humpty Dumpty,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/humpty-wfh-2026-09-03.pdf,"End on repair and kindness, never on breakage as loss."
